NAME,PARTY,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q7_8,Q7_9,Q7_10,Q8,Q9,Q10,Q11,Q12,Q13
園田＝博之,5,2,5,3,5,2,2,4,2,2,2,3,4,2,3,2,3,3,2,2,2,3,2,5,4,4,2,2,1,2,2,2,2,2
井芹＝栄次,6,5,5,3,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,2,4,1,5,4,2,5,5,5,5,5,5,4
金子＝恭之,1,1,2,3,2,4,1,2,2,2,2,2,5,3,1,1,5,3,1,3,2,3,2,5,4,3,3,3,1,1,1,2,2,2
橋田＝芳昭,6,5,5,3,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,3,4,1,5,4,2,5,5,5,5,5,5,4
穴見＝陽一,1,1,3,3,1,3,1,1,1,2,3,1,5,4,1,1,5,1,2,1,1,1,4,3,5,3,2,3,1,1,2,4,4,3
吉良＝州司,2,1,1,3,4,2,4,5,1,1,3,3,3,2,2,2,3,3,1,2,5,3,3,4,3,5,4,2,1,2,2,4,3,1
山本＝茂,6,5,5,3,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,3,4,1,5,3,2,5,6,5,5,5,5,4
衛藤＝征士郎,1,1,2,3,1,3,1,1,1,1,4,2,5,3,1,2,3,2,2,2,2,2,2,3,3,4,2,3,1,2,1,2,2,2
山下＝魁,6,5,5,3,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,3,4,1,5,3,2,5,5,5,5,5,5,4
岩屋＝毅,1,2,3,3,4,5,3,4,4,1,1,3,4,2,2,1,4,3,3,3,4,3,2,4,3,4,5,2,2,1,1,4,2,2
浦野＝英樹,2,3,4,3,5,5,3,5,3,3,3,4,2,3,4,2,2,2,3,4,2,2,3,3,4,4,1,3,3,5,5,5,5,2
大塚＝光義,6,5,5,3,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,3,4,1,5,3,2,5,5,5,5,5,5,4
武井＝俊輔,1,2,2,2,2,4,2,1,1,2,1,3,4,2,2,1,4,3,3,4,2,3,4,4,4,2,2,4,2,2,2,3,2,2
外山＝斎,3,1,2,3,2,2,3,3,3,3,3,3,5,3,1,5,4,3,3,2,4,2,3,1,5,4,1,1,1,4,4,5,5,3
村尾＝英俊,2,4,3,3,4,4,3,4,2,3,4,3,3,4,3,3,1,2,3,4,3,3,5,3,4,4,1,3,4,5,5,4,4,2
松本＝隆,6,5,5,5,5,5,3,3,5,5,5,5,1,3,3,5,1,3,5,5,1,1,4,1,5,3,2,5,5,5,5,5,5,4
江藤＝拓,1,2,3,3,3,3,1,2,4,2,2,3,5,4,1,1,5,2,3,3,2,3,2,4,4,4,2,3,1,2,2,4,2,2
吉田＝貴行,6,5,5,5,5,5,1,2,5,5,5,5,1,4,5,5,1,1,3,5,1,2,5,1,5,5,1,5,5,5,5,5,5,4
来住＝一人,6,5,5,5,5,5,4,5,5,5,5,5,1,3,5,5,1,2,5,4,1,2,5,1,5,5,2,5,5,5,5,5,5,4
保岡＝興治,1,1,1,2,1,2,1,3,1,1,1,2,5,2,1,1,3,1,1,2,3,2,2,5,3,3,1,2,1,1,1,2,2,2
川内＝博史,2,5,5,5,5,5,3,5,3,4,5,5,2,3,5,3,3,3,3,4,2,2,3,3,5,5,5,5,5,5,5,5,5,5
山之内＝毅,3,2,3,3,2,3,3,4,3,2,1,3,4,3,1,4,4,3,3,3,3,3,2,3,3,4,2,2,1,3,3,4,4,5
山口＝広延,6,5,5,3,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,2,4,1,5,4,2,5,5,5,5,5,5,4
金子＝万寿夫,1,2,2,2,2,3,2,2,2,2,3,2,3,3,1,2,4,3,2,2,3,2,2,5,3,3,3,3,3,2,2,2,1,2
祝迫＝光治,6,5,5,3,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,2,4,1,5,4,2,5,5,5,5,5,5,4
宮路＝拓馬,1,2,3,3,3,4,2,2,3,2,2,3,4,4,3,1,4,3,2,3,3,3,3,4,4,4,3,2,1,2,1,2,3,2
山口＝陽規,6,5,5,4,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,2,4,1,5,4,2,5,5,5,5,5,5,4
小里＝泰弘,1,1,3,3,2,4,1,2,2,2,3,3,3,3,1,1,3,3,3,2,2,3,2,4,4,4,2,4,1,2,2,2,2,2
永田＝義人,6,5,5,4,5,5,2,3,5,5,5,5,1,3,4,5,1,2,4,4,1,2,4,1,4,4,2,5,5,5,5,5,5,4
森山＝裕,1,1,2,3,3,3,1,2,2,3,4,2,5,5,1,1,5,3,3,3,3,3,1,4,3,4,3,3,1,1,1,4,2,2
野口＝寛,6,5,5,4,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,2,4,1,5,4,2,5,5,5,5,5,5,4
下地＝幹郎,3,2,5,2,3,4,2,2,4,2,3,4,5,1,1,4,5,3,3,4,2,3,4,3,4,2,4,4,1,3,4,4,3,3
赤嶺＝政賢,6,5,5,3,5,5,2,3,5,5,5,5,1,3,4,5,1,2,4,4,1,2,4,1,4,4,2,5,5,5,5,5,5,4
比嘉＝奈津美,1,2,3,3,3,4,2,2,3,3,3,3,4,3,2,3,3,2,2,3,2,3,3,4,4,4,2,3,3,2,2,3,2,3
西銘＝恒三郎,1,1,4,3,3,3,2,3,3,3,2,3,4,2,2,2,3,2,3,3,2,3,3,3,3,4,2,2,2,2,2,2,2,2
清水＝誠一,1,1,1,2,1,5,1,1,3,3,3,2,5,3,1,1,5,2,1,3,1,3,2,3,1,4,3,3,1,1,1,2,2,2
渡辺＝孝一,1,1,3,3,3,3,1,2,2,2,1,3,5,5,1,1,5,3,3,3,3,3,1,3,3,4,3,3,3,1,1,4,2,2
東＝国幹,1,1,1,2,1,3,2,1,2,2,3,2,5,3,1,2,5,2,4,3,2,3,1,3,1,3,4,3,1,1,2,2,1,2
金沢＝知歌子,1,1,3,3,1,3,2,3,3,2,3,3,5,2,1,2,3,2,3,3,3,2,2,3,3,4,2,3,1,1,1,4,2,2
大竹＝智和,3,2,2,2,4,2,3,4,3,2,1,4,4,2,3,5,4,3,2,3,4,2,3,2,5,4,1,1,1,4,5,5,5,3
佐藤＝英道,4,3,5,3,4,4,1,2,3,2,3,4,2,2,3,3,2,2,3,3,3,2,4,3,3,4,3,3,3,2,2,2,2,2
武田＝久之,4,3,4,3,5,4,2,2,3,3,4,3,2,2,3,2,2,3,2,2,2,3,2,3,4,4,2,2,4,2,2,2,2,2
畠山＝和也,6,5,5,4,5,5,2,3,5,4,5,5,1,3,4,5,1,6,5,4,1,2,4,1,5,5,6,5,5,5,5,5,5,4
村上＝文人,1,1,3,3,2,3,1,2,2,2,1,3,5,5,1,1,5,3,3,3,3,3,1,4,3,4,3,3,1,1,1,4,2,2
吉田＝修,1,2,5,1,3,3,1,3,3,3,5,4,2,2,1,4,2,3,1,4,2,4,2,3,4,4,3,4,1,2,2,4,3,2
菅野＝佐智子,1,2,3,3,1,5,1,1,3,1,1,1,4,2,1,3,4,1,3,2,2,2,3,3,3,4,3,4,2,1,1,2,1,2
小林＝義明,2,3,3,2,4,4,2,3,2,3,4,2,2,2,2,4,3,2,2,4,3,2,2,2,4,4,2,4,2,4,4,3,3,1
井上＝義久,4,3,4,4,5,4,2,2,3,2,5,4,2,3,3,3,1,2,2,4,3,2,3,3,4,4,2,2,2,2,2,2,1,2
真山＝祐一,4,3,4,4,5,4,2,2,2,2,4,4,2,2,2,2,2,2,3,3,4,3,3,6,4,4,2,4,2,1,1,2,2,2
高橋＝千鶴子,6,5,5,3,5,5,2,3,5,5,5,5,1,3,4,5,1,2,3,4,1,3,4,1,4,3,2,5,5,5,5,5,5,4
岩渕＝友,6,5,5,5,5,5,3,4,5,5,5,5,1,3,3,5,1,1,5,5,1,2,5,1,5,5,1,5,5,5,5,5,5,4
下田＝彰一,1,1,3,3,1,3,2,2,2,3,3,3,5,3,1,1,5,3,2,3,3,3,1,4,3,4,3,3,1,1,1,3,2,2
佐藤＝明男,1,1,2,1,3,3,2,2,1,1,2,2,5,4,2,2,4,3,1,1,2,2,1,4,3,2,2,2,1,2,2,2,1,2
冨山＝ひで子,1,1,3,3,1,3,1,2,2,2,1,4,5,5,1,3,5,3,3,3,3,3,2,4,3,4,3,3,1,2,3,3,2,2
尾身＝朝子,1,1,3,3,3,3,1,2,2,2,3,2,5,5,1,1,1,3,3,3,3,3,4,4,4,4,3,3,1,1,1,4,2,2
並木＝正芳,3,2,3,2,4,2,3,3,2,3,2,4,3,2,2,3,4,3,3,2,3,2,2,3,3,4,2,2,1,3,4,4,2,3
岡本＝三成,4,3,5,3,5,5,2,2,3,2,3,4,2,2,3,2,3,2,2,3,4,3,3,3,5,3,2,2,2,2,2,2,2,2
輿水＝恵一,4,4,4,4,4,3,3,3,3,3,4,6,2,3,3,3,3,3,3,3,3,3,3,3,3,4,2,3,4,3,3,2,2,2
川浦＝伸一,4,4,5,2,5,5,2,3,2,2,3,5,2,2,3,2,3,3,2,3,3,4,4,3,4,2,2,2,4,2,2,2,2,2
石井＝啓一,4,3,3,3,5,4,6,2,3,2,4,3,1,2,2,3,1,2,2,3,3,3,4,3,5,4,2,2,2,1,1,4,4,2
梅村＝早江子,6,5,5,3,5,5,1,3,5,5,5,5,1,3,4,5,1,2,4,4,1,2,4,1,4,3,2,5,5,5,5,5,5,4
塩川＝鉄也,6,5,5,4,5,5,2,3,5,5,5,5,1,3,4,5,1,2,4,4,1,2,4,1,4,3,2,5,5,5,5,5,5,4
中谷＝真一,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,2,2,2
文月＝涼,1,1,3,2,1,4,2,1,3,2,2,3,5,4,1,2,5,2,3,2,3,3,3,5,3,2,4,3,1,1,1,2,1,2
金子＝真理子,1,1,3,3,2,3,1,2,2,2,1,3,5,5,1,1,5,3,3,3,3,3,1,4,3,4,3,3,1,1,1,4,2,2
出畑＝実,1,1,3,3,3,3,1,2,2,2,1,3,5,5,1,1,5,3,2,3,3,3,2,4,3,4,3,3,1,1,1,4,2,2
小林＝博次,1,1,3,3,2,3,1,2,2,2,1,3,5,5,1,1,5,3,1,3,3,3,1,4,3,4,2,3,1,1,1,4,2,2
前川＝忠夫,2,4,5,3,5,4,4,4,3,3,5,4,3,3,4,5,3,4,4,4,2,3,3,2,3,4,2,4,4,5,5,4,4,3
山口＝繁,2,3,3,2,3,1,3,4,1,3,4,2,3,3,2,3,3,2,1,3,2,2,2,3,2,4,3,2,3,4,4,2,3,2
井川＝泰雄,4,3,3,5,5,5,3,2,4,1,5,2,1,3,3,3,3,2,5,3,2,4,5,3,4,3,2,3,3,1,1,3,2,2
角田＝秀穂,4,3,5,2,5,4,3,3,1,2,5,4,1,2,4,2,1,2,3,4,3,4,3,4,4,3,2,3,2,3,2,2,2,2
富田＝茂之,4,2,5,2,5,3,3,3,1,2,5,4,1,2,4,2,1,2,3,4,2,4,3,4,4,3,2,3,2,3,2,2,2,2
古屋＝範子,4,3,5,3,5,5,2,2,3,2,4,4,1,2,2,2,1,2,2,3,3,2,5,3,5,4,2,4,2,1,1,2,2,2
川浪＝隆,4,2,5,4,5,4,4,3,3,2,5,4,1,1,3,4,1,1,2,5,4,2,3,2,4,4,2,3,2,3,2,3,2,2
志位＝和夫,6,5,5,5,5,5,1,3,5,5,5,5,1,3,3,5,1,2,4,5,1,3,4,1,5,4,2,5,5,6,6,6,6,5
岡崎＝裕,6,5,5,3,5,5,2,3,5,5,5,5,1,3,4,5,1,2,4,4,1,3,4,1,5,3,2,5,5,5,5,5,5,4
畑野＝君枝,6,5,5,3,5,5,1,3,5,5,5,5,1,3,4,5,1,2,4,4,1,3,4,1,5,3,2,5,5,5,5,5,5,4
赤枝＝恒雄,1,1,1,1,3,4,3,2,1,3,3,1,3,3,1,1,3,2,1,3,2,1,1,5,1,3,2,3,1,1,1,4,2,3
鈴木＝隼人,1,1,3,3,3,3,3,2,2,2,1,4,5,5,1,2,5,3,3,3,4,3,2,3,4,4,3,3,1,1,1,4,2,2
金森＝篤子,1,2,3,1,2,3,2,2,2,3,4,3,2,2,1,3,2,3,4,3,3,3,4,4,4,5,4,3,2,3,2,4,2,1
石田＝計夫,1,1,3,3,1,3,1,2,2,2,1,2,5,2,1,1,5,3,2,3,3,3,2,5,3,4,3,3,1,1,1,4,2,2
前川＝恵,1,1,3,3,1,3,1,2,2,2,1,2,5,2,1,1,5,3,2,3,3,3,2,5,3,4,3,3,1,1,1,4,2,2
福村＝隆,2,4,5,2,5,4,3,3,1,2,5,4,2,2,3,4,2,2,3,6,4,1,2,2,5,5,1,1,4,4,5,4,3,1
石毛＝鍈子,2,4,5,5,5,5,3,4,2,5,5,5,1,3,4,5,1,1,4,5,2,2,5,2,5,5,2,4,5,5,5,4,4,1
高木＝美智代,4,5,4,3,5,4,3,3,3,3,4,4,1,2,3,2,1,2,3,3,3,3,4,3,4,4,2,2,2,2,2,2,1,2
高木＝陽介,4,3,4,3,5,4,2,2,2,2,4,4,2,2,3,2,2,2,3,3,3,3,4,4,5,4,2,2,2,2,2,2,2,2
村中＝克也,4,2,5,4,5,4,4,3,2,2,4,3,1,2,2,3,2,3,3,4,2,2,4,3,4,4,2,4,4,2,2,2,2,2
荒神＝享佑,4,3,3,3,5,3,2,2,2,2,2,3,2,2,2,3,3,1,4,2,2,2,3,3,4,3,2,3,4,2,1,3,2,2
石原＝慎太郎,5,1,6,6,1,6,6,6,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,1,6,6,5
笠井＝亮,6,5,5,3,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,2,4,1,4,3,2,5,5,5,5,5,5,4
坂井＝和歌子,6,5,5,3,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,2,4,1,4,3,2,5,5,5,5,5,5,4
宮本＝徹,6,5,5,3,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,2,4,1,4,3,2,5,5,5,5,5,5,4
山本＝拓,1,3,3,3,3,3,3,3,3,2,2,3,4,3,3,2,3,3,3,3,3,3,3,5,2,3,2,2,1,2,2,2,2,2
助田＝重義,1,1,3,3,1,3,1,2,2,2,1,1,5,5,1,1,5,3,2,3,3,3,1,4,3,4,4,3,1,1,1,4,2,2
中森＝福代,1,1,3,3,2,3,2,3,2,4,4,3,5,4,1,2,4,3,2,3,2,3,2,4,2,4,3,4,1,2,2,3,2,1
村田＝正示,2,2,3,2,4,6,2,2,4,2,4,3,2,2,1,4,3,2,4,4,2,2,2,2,4,4,3,2,4,4,4,4,3,4
近江屋＝信広,3,2,2,3,3,2,4,2,2,1,1,2,4,3,1,3,4,2,2,3,4,2,2,4,3,4,3,2,1,2,2,4,2,3
漆原＝良夫,4,3,4,2,5,4,1,1,3,3,3,5,1,3,1,2,1,3,3,3,2,3,3,3,4,3,3,3,2,1,2,4,2,2
藤野＝保史,6,5,5,4,5,5,4,3,5,5,5,4,1,4,3,5,1,2,5,5,1,3,5,1,5,4,2,5,5,5,5,5,5,4
桜井＝宏,1,1,1,2,1,3,1,1,2,1,2,2,4,4,1,1,5,2,1,3,2,3,1,5,1,3,4,1,1,1,1,2,2,2
速水＝桂二,1,1,3,3,2,3,1,2,2,2,1,2,5,5,1,1,5,3,2,3,3,3,1,4,3,4,3,3,1,1,1,4,2,2
浅田＝恵理,1,1,3,3,3,3,1,2,2,2,1,3,5,5,1,1,2,2,3,3,3,3,4,4,3,4,3,3,1,1,1,4,2,2
中根＝康浩,2,2,2,2,4,5,4,4,3,1,5,4,2,3,2,3,2,3,2,4,4,4,4,4,5,5,1,1,4,4,5,5,4,3
伊藤＝渉,4,3,4,2,5,4,2,2,2,2,4,3,2,2,2,4,2,3,2,4,2,2,4,3,3,3,2,2,4,2,2,3,4,2
大口＝善徳,4,3,3,2,5,4,3,2,2,2,4,4,2,2,2,2,2,3,2,3,4,3,3,3,5,4,1,2,1,1,1,2,2,2
柳瀬＝進一,4,3,4,2,5,3,2,2,2,2,4,3,2,3,2,4,2,3,3,4,2,2,4,3,3,3,2,2,4,2,2,3,4,2
五十嵐＝雅之,4,3,4,2,5,3,2,2,2,2,4,3,2,3,3,4,3,3,3,4,2,2,2,3,3,3,3,2,4,2,2,3,2,2
中川＝康洋,4,3,4,3,5,3,2,2,2,2,4,3,1,2,2,3,2,3,3,4,2,2,3,3,4,3,3,2,4,2,2,2,3,2
深尾＝浩紹,5,1,2,2,2,2,2,3,3,2,2,4,5,2,1,2,2,2,2,2,4,3,2,4,3,4,2,1,1,2,2,4,4,4
藤井＝孝男,5,1,1,1,1,3,2,4,2,1,2,3,5,5,1,3,4,4,2,3,3,3,1,4,3,4,3,2,1,2,1,3,4,2
島津＝幸広,6,5,5,4,5,5,2,3,5,5,5,5,1,3,4,5,1,2,4,4,1,2,4,1,4,3,2,5,5,5,5,5,5,4
本村＝伸子,6,5,5,4,5,5,2,3,5,5,5,5,1,3,4,5,1,2,4,4,1,2,4,1,5,3,2,5,5,5,5,5,5,4
清水＝克実,1,2,2,3,3,4,2,3,2,3,5,2,3,5,2,1,3,2,2,3,1,1,3,5,4,4,2,3,1,2,2,3,3,4
近藤＝三津枝,1,2,3,3,3,4,3,2,2,2,3,3,5,3,3,2,3,3,3,3,4,3,3,3,3,3,3,2,1,2,2,2,2,2
湯峯＝理之,1,1,2,2,2,3,2,2,3,2,2,3,4,3,2,2,3,2,1,2,2,3,2,4,3,3,2,2,2,2,2,3,2,2
高栖＝留美子,1,1,3,3,2,3,1,2,2,2,1,2,5,5,1,1,5,6,3,3,3,3,3,4,3,4,3,3,1,1,1,4,2,2
真鍋＝麻未,1,1,3,3,2,3,1,2,2,2,1,3,5,5,1,1,5,3,1,3,3,3,1,4,3,4,2,3,1,1,1,4,2,2
伊東＝賢一郎,1,1,2,2,1,3,2,2,2,1,2,2,5,5,1,1,5,4,2,2,2,4,2,5,2,2,4,2,1,1,1,2,1,2
坂本＝剛二,1,2,2,2,2,3,3,2,3,2,4,3,3,4,1,2,4,3,1,2,4,3,2,5,3,4,3,2,1,1,1,3,2,2
小沢＝鋭仁,3,2,2,2,3,4,2,3,3,3,1,3,1,2,1,5,4,2,3,4,3,2,2,2,4,4,2,1,1,2,2,5,5,4
浮島＝智子,4,3,3,3,5,4,2,2,2,2,4,3,2,2,4,2,1,1,4,2,4,2,4,4,4,4,2,2,6,2,6,2,1,2
竹内＝譲,4,3,5,3,5,3,2,2,3,4,5,4,2,3,4,3,2,3,2,3,3,3,3,3,3,4,2,3,4,2,2,3,4,2
浜村＝進,4,3,3,2,5,4,2,3,3,2,4,4,2,5,4,1,2,4,4,2,3,3,5,3,4,4,2,2,1,1,1,3,2,2
樋口＝尚也,4,3,5,3,5,4,2,2,2,2,2,3,1,2,3,2,2,3,3,2,4,3,4,4,3,3,2,3,2,1,1,2,2,2
高橋＝雅也,4,3,2,4,5,5,2,2,2,3,3,4,2,2,2,2,2,2,2,3,2,3,3,3,5,3,3,3,3,2,1,3,2,2
田丸＝義高,4,2,5,2,5,3,2,2,3,2,4,3,2,2,3,3,2,2,3,2,4,2,2,3,4,4,2,2,3,2,2,2,2,2
田中＝博之,4,3,5,3,5,4,3,3,3,2,5,4,1,3,4,3,2,2,2,3,3,2,5,3,5,4,2,2,2,2,2,3,2,2
坪田＝五久男,6,5,5,3,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,2,4,1,5,4,2,5,5,5,5,5,5,4
堀内＝照文,6,5,5,4,5,5,2,3,5,5,5,5,1,3,2,5,1,1,5,5,1,2,4,1,5,4,1,5,5,5,5,5,5,4
宮本＝岳志,6,5,5,3,5,5,2,3,5,5,5,5,1,3,6,5,1,2,4,4,1,3,4,1,4,4,2,5,5,5,5,5,5,4
池田＝道孝,1,1,2,4,4,4,1,3,2,2,2,4,4,2,2,1,3,4,2,4,2,4,1,5,4,4,2,2,1,2,2,3,2,2
新谷＝正義,1,1,3,3,1,3,2,3,3,2,1,3,5,3,1,1,5,3,3,3,3,3,1,5,4,3,2,2,1,1,1,2,1,2
木村＝光寿,1,1,3,3,1,3,2,2,3,2,1,2,3,3,1,1,5,2,1,3,2,3,1,5,4,3,2,3,1,1,1,2,1,2
古賀＝直子,1,2,2,3,3,4,3,2,2,2,2,2,4,2,2,2,3,3,6,6,6,6,3,3,3,4,1,2,1,1,1,2,2,2
古田＝圭一,1,2,2,2,3,3,2,2,2,2,3,2,3,3,2,2,3,3,3,3,3,2,2,3,3,3,3,3,1,2,2,3,2,2
笹尾＝憲司,1,2,3,3,2,3,2,2,2,1,4,2,5,4,2,1,5,2,1,2,5,3,1,5,2,1,4,2,1,1,1,2,1,2
炭村＝信義,2,3,5,3,5,4,3,4,3,5,5,4,1,2,3,4,2,3,4,5,3,1,3,2,5,4,4,3,4,4,5,3,3,3
斉藤＝鉄夫,4,2,4,3,5,4,2,3,3,3,4,3,2,2,2,2,2,3,2,2,3,3,2,4,4,4,2,4,2,2,6,2,2,2
日下＝正喜,4,4,4,3,5,4,2,2,3,3,3,3,1,2,2,3,2,2,3,2,3,2,2,2,4,4,3,3,2,2,6,3,2,2
矢引＝亮介,6,5,5,5,5,5,3,4,5,5,5,5,1,3,4,5,1,1,4,5,2,1,5,1,5,5,1,5,5,5,5,5,5,4
大平＝喜信,6,5,5,5,5,5,3,4,5,5,5,5,1,3,4,5,1,1,4,5,2,1,5,1,5,5,1,5,5,5,5,5,5,4
福井＝照,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5
福山＝守,1,1,3,4,3,2,2,3,2,1,2,2,5,2,1,2,3,2,2,2,4,3,5,5,5,4,4,4,2,2,1,2,2,2
湯浅＝満,1,1,2,2,2,3,2,2,3,3,3,3,5,4,2,1,5,3,2,3,2,3,2,3,3,3,4,2,1,2,1,2,2,2
都築＝旦,2,5,5,4,5,3,4,4,3,4,5,5,2,3,4,5,2,3,4,5,3,3,4,1,5,5,1,5,5,5,5,3,3,3
石田＝祝稔,4,3,5,3,5,4,1,2,3,3,4,3,3,2,3,2,3,1,2,4,2,3,3,3,4,4,2,4,2,1,1,3,2,2
中野＝英雄,4,2,3,2,4,3,3,3,2,3,4,3,3,3,3,2,3,3,2,3,2,3,3,4,3,4,3,3,2,2,2,2,2,2
浜川＝百合子,6,5,5,5,5,5,3,5,5,5,5,5,1,3,5,5,1,2,5,5,1,2,4,1,5,3,4,4,5,5,5,5,5,4
上杉＝光弘,1,1,2,2,2,2,1,1,3,1,2,1,2,2,1,2,5,2,1,1,1,2,1,5,5,2,1,1,1,2,2,3,2,3
今村＝雅弘,1,2,2,2,1,2,2,2,2,3,4,2,5,4,1,1,4,2,2,2,2,2,1,4,4,4,2,2,1,1,1,2,2,2
末吉＝光徳,1,1,3,3,5,3,1,2,2,3,3,3,5,4,1,3,3,3,5,3,3,3,1,3,3,3,3,3,3,1,1,4,2,3
西川＝京子,1,1,2,2,1,3,2,1,1,2,2,2,5,4,1,1,5,3,2,2,2,2,2,5,4,2,4,2,1,1,1,2,2,2
林田＝彪,1,2,2,2,1,5,1,1,2,2,3,3,5,3,1,1,4,4,1,1,2,4,3,5,3,2,3,4,1,1,1,2,2,3
湯川＝一行,1,2,3,3,2,3,1,2,2,2,2,3,4,4,1,1,4,3,4,3,3,3,2,4,3,4,3,3,1,2,2,4,2,2
泉＝幸親,1,3,3,3,2,2,2,3,2,2,4,4,2,2,2,2,2,2,3,2,4,3,2,3,4,4,2,2,1,2,2,2,2,2
安藤＝幽明,2,3,4,6,3,3,3,4,4,4,4,4,4,3,2,6,4,3,2,4,3,2,2,3,3,4,3,3,3,4,4,4,4,4
鈴木＝望,3,3,3,1,5,3,4,4,2,2,2,3,2,1,3,5,5,3,2,3,5,2,3,2,2,4,1,1,3,4,5,4,3,3
江田＝康幸,4,3,4,2,5,4,2,3,4,2,3,3,2,2,3,2,2,2,2,3,3,3,3,3,3,4,1,2,2,2,2,2,2,2
窪田＝哲也,4,4,5,3,5,4,2,2,2,2,4,5,1,1,3,2,2,2,2,3,2,3,4,3,3,2,3,2,2,2,1,2,2,2
遠山＝清彦,4,3,3,4,5,3,2,2,3,2,1,4,1,1,3,3,1,2,4,3,2,2,5,3,4,2,2,3,2,1,1,2,2,2
浜地＝雅一,4,2,4,4,4,3,2,2,2,3,4,3,2,2,4,3,2,2,3,3,3,2,4,3,4,4,2,3,3,2,1,3,2,2
吉田＝宣弘,4,2,5,3,5,5,2,2,2,2,4,2,2,2,2,3,2,2,3,3,3,1,2,3,3,3,1,3,2,2,2,3,2,2
中山＝英一,4,3,5,4,5,3,2,4,2,2,4,3,1,2,2,2,3,2,2,3,2,3,4,2,4,4,2,2,1,2,3,4,2,2
頭山＝晋太郎,5,1,3,2,1,4,2,2,4,3,3,2,5,3,1,2,5,3,4,3,3,4,1,5,2,4,5,2,1,1,1,3,4,5
中山＝成彬,5,1,2,2,1,2,1,3,2,2,5,2,5,5,1,1,5,3,2,3,1,3,3,5,2,4,3,4,1,1,1,4,3,3
伊勢田＝良子,6,5,5,3,5,5,2,3,5,5,5,5,1,3,4,5,1,2,5,4,1,2,4,1,5,4,2,5,5,5,5,5,5,4
田村＝貴昭,6,5,5,3,5,5,2,3,5,5,5,5,1,3,3,5,1,2,4,4,1,2,4,1,4,3,2,5,5,5,5,5,5,4
伊礼＝一美,6,5,5,3,5,5,2,3,5,5,5,5,1,3,4,5,1,2,4,4,1,2,4,1,4,4,2,5,5,5,5,5,5,4